4, 組織の状況*
9.2.2.3, 製造工程監査*粗織は、 製造工程の有効性及び効率を判定するために、 各8暦年の期*間、 工程監査のための顧客固有に要求される方法を使用して、 全ての製造*工程を監査しなければならない. 顧客によって定められていない場合、 組*織は、 使用する方法を決めなければならない.*個別の各監査計画の中で、 各製造工程は シフト引継ぎの適切なサンプ*リングを含めて、 それが行われている全てのシフトを監査しなければなら*ない.*製造工程監査には、工程リスク分析(PFMEAのような)、コントロールプラン及び関連文書が効果的に実施されているかの監査を含めなければならない。*
9.2.2.4, 製品監査*組織は、 規定要求事項への適合を検証するために、 顧客固有の要求きされ*る方法を使用して、 生産及び引渡しの適切な段階で、 製品を監査しなけれ*ばならない. 顧客によって定められていない場合、 組織は、 使用する方法*を定めなければならない.*
9.3, マネジメントレビュー*
9.3.1, 一般*トップマネジメントは、 組織の品質マネジメン ントシステムが、引き*続き、適切、妥当かつ有効で更に組織の戦略的な方向性と一致してい*ることを確実にするために、あらかじめ定めた間隔で、品質マネジメント*システムをレビューしなければならない。*
9.3.1.1, マネジメントレビュー一補足*マネジメントレビューは、 少なくとも年次で実施しなければならない.*品質マネジメントシステム及びパフォーマンスに関係する問題に影響する*内部又は外部の変化による顧客要求事項への適合のリスクに基づいて、 マ*ネジメントレビューの頻度を増やさなければならない.*
9.3.2, マネジメントレビューへのインプット*マネジメントレビューは、次の事項を考慮して計画し、実施しなけれ*ばならない*a)前回までのマネジメントレビューの結果とった処置の状況*b)品質マネジメントシステムに関連する外部及び内部の課題の変化*c)次に示す傾向を含めた、品質マネジメントシステムのパフォーマ*ンス及び有効性に関する情報*1)顧客満足及び密接に関連する利害関係者からのフィードバック*2)品質目標が満たされている程度*3)プロセスのパフォーマンス、並びに製品及びサービスの適合*4)不適合及び是正処置*5)監視および測定の結果*6)監視結果*7)外部提供者のパフォーマンス*d)資源の妥当性*e)リスク 及び機会への取組みの有効性 (6.1 参照)*f)改善の機会*
9.3.2.1, マネジメントレビューへのインプット-補足*マネジメントレビューへのインプットには、 次の事項を含めなければな*らない.*a)品質不良コスト (内部不適合及び外部不適合のコスト)*b)プロセスの有効性の対策*c)プロセスの効率の対策*d)製品適合性*e)現行の運用の変更及び新規施設又は新規製品に対してなされる製造フ*ィージビリティ評価 (7.1.3.1 参照)*f)顧客満足 (ISO 9001 の 9.1.2 参照)*g)保全目標に対するパフォーマンスのレビュー*h)補償のパフォーマンス (該当する場合には、 必ず)*i)顧客スコアカードのレビュー (該当する場合には、 必ず)*j)リスク分析 (FMEA のような) を通じて明確にきれた潜在的市場不*具合の特定*k)実際の市場不具合及びそれらが安全又は環境に与える影響*
9.3.3, マネジメントレビューからのアウトプット*マネジメントレビューからのアウトプットには、次の事項に関する決定及び処置を含めなければならない*a)改善の機会*b)品質マネジメントシステムのあらゆる変更の必要性*c)資源の必要性*組織は、マネジメンントレビューの結果の証拠として、文書化した情*報を保持しなければならない.*
9.3.3.1, マネジメントレビューからのアウトプット一補足*トップマネジメントは、 顧客のパフォーマンス目標が達成されていない*場合には、 処置計画を文書化し実施しなければならない.*
10, 改善*
10.1, 一般*組織は、顧客要求事項を満たし、顧客満足を向上させるために、改*善の機会を明確にし、選択しなければならず、また、必要な取組みを*実施しなければならない。*これには、次の事項を含めなければならない*a)要求事項を満たすため、、並びに将来のニーズ及び期待に取り組むための、製品及びサービスの改善*b)望ましくない影響の修正、防止又は低減*c)品質マネジメントシステムのパフォーマンス及び有効性の改善*注記 改善には、例えば、修正、是正処置、継続的改善、現状を*打破する変更、革新及び組織再編が含まれ得る。*
10.2, 不適合及び是正処置*
10.2.1, 苦情から生じたものを含め、不適合が発生した場合、組織*は、次の事項をおこなわなければならない。*a)その不適合に対処し、該当する場合には、必ず、次の事項を行う。*1)その不適合を管理し、修正するための処置をとる。*2)その不適合におって起こった結果に対処する*b)その不適合が再発又は他のところで発生しないようにするため、*次の事項によって、その不適合の原因を除去するための処置をと*る必要性を評価する。*1)その不適合をレビューし分析する.*2)その不適合の原因を明確にする.*3)類似の不適合の有無、 又はそれが発生する可能性を明確にする.*c)必要な処置を実施する.*d)とった全ての基正処置の有効性をレビューする.*e)必要な場合には、 計画の策定段階で決定したリスク及び機会を更*新する。*f)必要な場合には、品質マネジメントシステムの変更を行う。*是正処置は、検出された不適合のもつ影響に応じたものでなければならない。*
10.2.2, 組織は、次に示す事項の証拠として、文書化した情報を保持しなければならない。*a)不適合の性質及びそれに対してとったあらゆる処置*b)是正処置の結果*
10.2.3, 問題解決*組織は、 次の事項を含む、 問題解決の方法を文書化したプロセスをもた*なければならない.*a)問題の様々なタイプ及び規模に対する定められたアプローチの仕方*(例 新製品開発、 現行製造問題、 市場不具合、 監査所見)*b)不適合なアウトプット (ISO 9001 の 8.7 参照) の管理に必要な、 封*じ込め、 暫定処置及び関係する活動*c)根本原因分析、 使用される方法論、 分析及び結果*d)類似のプロセス及び製品への影響を考慮することを含む、 体系的是正*処置の実施*e)実施された基正処置の有効性検証*f)適切な文書化した情報 (例 PPMEA、 コントロールプラン) のレビ*ュー及び、 必要に応じた更新*顧客が固有の規定されたプロセス、 ツール、 又は問題解決のシステムを*もっている場合、 顧客によって他に承認がない限り、 組織は、 そのプロセ*ス、 ツール、 又はシステムを使用しなければならない.*
10.2.4, ポカヨケ*組織は、 適切なポカヨケ手法の活用について決定する文書化したプロセ*スをもたなければならない. 採用された手法の詳細は、 プロセスリスク分*析 (PFMRA のような) に文書化し、 試験頻度はコントロールプランに文*書化しなければならない.*そのプロセスには、 ポカヨケ装置の故障又は模擬故障のテストを含めな*ければならない. 記録は維持しなければならない. チャレンジ部品が使用*される場合、 実現可能であれば、 識別し、 管理し、 検証し、 及び校正しな*ければならない. ポカヨケ装置の故障には、 対応計画をもたなければなら*ない.*
10.2.5, 補償管理システム*組織の製品に対して補償を要求される場合、 組織は、 補償管理プロセ*スを実施しなければならない. 組織は、 NTF (no trouble found) を含め*て、 そのプロセスに補償部品分析の方法を含めなければならない. 顧客に*規定されている場合、 組織は、 その要求される補償管理プロセスを実施し*なければならない.*
10.2.6, 顧客苦情及び市場不具合の試験・分析*組織は、 顧客苦情及び市場不具合に対して、 回収された部品を含めて、*分析しなければならない. そして、 再発防止のために間題解決及び是正処*置を開始しなければならない*顧客に要求された場合は. これには、 顧客の最終製品内での、 組織の製*品の組込みソフトウェアの相互作用の分析を含めなければならない.*組織は、 試験分析の結果を、 顧客及び組織内にも伝達しなければなら*ない。*
10.3, 継続的改善     、*組織は 品質マネジメントシステムの適切性、妥当性及び有効性を*継続的に改善しなければならない、*組織は、 継続的改善の一票として取り組まなければならない必要性*又は機会があるかどうかを明確にするために、分析及び評価の結果並*びにマネジメントレビューからのアウトプブットを検討しなければ*ならない。*
10.3.1, 継続的改善一補足*組織は、 継続的改善の文書化したプロセスをもたなければならない. 組*織は. このプロセスに次の事項を含めなければならない.*a)使用きれる方法論、 目標、 評価指標、 有効性及び文書化した情報の明*確化*b)工程ばらつき及び無駄の削減に重点を置いた、 製造工程の改善計画*c)リスクタ分析 (FMEA のような)*注記 継続的改善は、 製造工程が統計的に能力をもち安定してから、*又は製品特性が予測可能で顧客要求事項を満たしてから、 実施*される**
